Date,bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc--sma3,difficulty-btc--sma7,difficulty-btc--sma30,difficulty-btc--ema3,difficulty-btc--wma14,difficulty-btc--wma30,difficulty-btc--wma90,difficulty-btc--std3,difficulty-btc--std90,difficulty-btc--trx14,difficulty-btc--trx90,difficulty-btc--rsi30,difficulty-btc--roc14,difficulty-btc--roc30,hashrate-btc--sma3,hashrate-btc--sma7,hashrate-btc--sma30,hashrate-btc--sma90,hashrate-btc--ema30,hashrate-btc--wma7,hashrate-btc--wma14,hashrate-btc--std7,hashrate-btc--std14,hashrate-btc--std30,hashrate-btc--var14,hashrate-btc--trx7,hashrate-btc--trx14,hashrate-btc--trx30,hashrate-btc--trx90,mining_profitability-btc--sma14,mining_profitability-btc--sma30,mining_profitability-btc--sma90,mining_profitability-btc--ema7,mining_profitability-btc--ema14,mining_profitability-btc--ema30,mining_profitability-btc--ema90,mining_profitability-btc--wma14,mining_profitability-btc--wma30,mining_profitability-btc--wma90,mining_profitability-btc--std90,mining_profitability-btc--mom14,mining_profitability-btc--var30,mining_profitability-btc--var90,sentinusd-btc--sma30,sentinusd-btc--ema30,sentinusd-btc--ema90,sentinusd-btc--wma30,sentinusd-btc--std30,sentinusd-btc--var30,sentinusd-btc--trx30,sentinusd-btc--trx90,transactionfees-btc--ema90,transactionfees-btc--wma30,transactionfees-btc--wma90,transactionfees-btc--std30,transactionfees-btc--std90,transactionfees-btc--var3,transactionfees-btc--var30,transactionfees-btc--trx30,transactionfees-btc--trx90,median_transaction_fee-btc--sma3,median_transaction_fee-btc--ema3,median_transaction_fee-btc--wma3,median_transaction_fee-btc--std90,median_transaction_fee-btc--trx30,median_transaction_fee-btc--trx90,median_transaction_fee-btc--rsi90,confirmationtime-btc--var90,confirmationtime-btc--trx7,confirmationtime-btc--trx30,confirmationtime-btc--trx90,marketcap-btc--sma3,marketcap-btc--sma14,marketcap-btc--sma90,marketcap-btc--ema3,marketcap-btc--ema7,marketcap-btc--ema14,marketcap-btc--ema30,marketcap-btc--ema90,marketcap-btc--wma3,marketcap-btc--wma30,marketcap-btc--wma90,marketcap-btc--mom90,marketcap-btc--trx30,marketcap-btc--trx90,marketcap-btc--roc90,transactionvalue-btc--sma14,transactionvalue-btc--sma30,transactionvalue-btc--ema14,transactionvalue-btc--ema30,transactionvalue-btc--wma30,transactionvalue-btc--wma90,mediantransactionvalue-btc--sma7,mediantransactionvalue-btc--sma14,mediantransactionvalue-btc--sma30,mediantransactionvalue-btc--ema30,mediantransactionvalue-btc--ema90,mediantransactionvalue-btc--wma30,mediantransactionvalue-btc--wma90,mediantransactionvalue-btc--var14,mediantransactionvalue-btc--trx14,mediantransactionvalue-btc--trx30,mediantransactionvalue-btc--trx90,fee_to_reward-btc--std90,fee_to_reward-btc--var90,fee_to_reward-btc--trx30,size-btc--sma30,size-btc--sma90,size-btc--ema90,size-btc--std14,size-btc--var14,size-btc--var90,size-btc--trx90,transactions-btc--sma30,sentbyaddress-btc--sma30,sentbyaddress-btc--ema30,sentbyaddress-btc--wma90,sentbyaddress-btc--std14,sentbyaddress-btc--std90,sentbyaddress-btc--trx14,sentbyaddress-btc--trx90,top100cap-btc--sma14,top100cap-btc--ema7,top100cap-btc--ema90,top100cap-btc--wma7,top100cap-btc--wma14,top100cap-btc--wma90,top100cap-btc--std14,top100cap-btc--std30,top100cap-btc--std90,top100cap-btc--mom90,top100cap-btc--var7,top100cap-btc--var90,top100cap-btc--trx30,top100cap-btc--roc90,activeaddresses-btc--sma14,activeaddresses-btc--sma30,activeaddresses-btc--ema30,activeaddresses-btc--wma30,activeaddresses-btc--std30,activeaddresses-btc--std90,activeaddresses-btc--var14,activeaddresses-btc--var90,activeaddresses-btc--trx30,price-btc--sma3,price-btc--sma7,price-btc--sma14,price-btc--sma30,price-btc--sma90,price-btc--ema3,price-btc--ema7,price-btc--ema90,price-btc--wma3,price-btc--wma30,price-btc--wma90,price-btc--trx14,price-btc--trx30,price-btc--trx90,price-btc--rsi30,price-btc--rsi90,price-btc--roc90,bitcoin-price_raw_7d
2013/04/01,1039517192.0,94.715,0.0474,65502112131790.0,6695826.0,6695826.0,5182950.0,6690038.0,6368099.0,5652157.0,4430808.0,291547.0,2161986.0,1.93,0.271,97.889,38.125,53.297,59387909975187.0,55235596298287.0,44956251399826.0,31776180357082.0,46935502677847.0,57669081336507.0,55439878831239.0,11901094115686.0,11490406893431.0,19252887180085.0,3.3007362644153e+25,1.91,2.0,1.373,0.372,6279.0,5449.0,3913.0,6648.0,6242.0,5603.0,4403.0,6442.0,5894.0,4650.0,2778.0,2583.0,1048771.0,1929846.0,91370923.0,97859408.0,62957053.0,108319605.0,99974157.0,2498708038563228.0,3.029,0.276,0.038,0.065,0.042,0.043,0.045,0.001,0.001,2.712,1.218,0.045,0.045,0.046,0.023,2.482,1.11,65.414,1.818,0.415,-0.275,-0.057,991852178.0,806312686.0,352418998.0,997954603.0,929243159.0,824742386.0,669282203.0,428855865.0,1005258635.0,725365498.0,468618640.0,897213385.0,2.586,1.097,630.491,2385.0,1883.0,2446.0,2019.0,2254.0,1380.0,59.708,54.928,41.397,44.502,31.061,48.928,32.651,76.139,3.449,2.119,0.207,0.956,0.229,0.05,154996.0,154528.0,149099.0,51899.0,673384639.0,644540075.0,0.334,54216.0,43467.0,44836.0,41505.0,9767.0,10848.0,0.982,0.253,19.59,19.799,19.501,19.86,19.706,19.428,0.462,0.367,0.322,0.426,0.018,0.026,0.011,2.183,72861.0,64764.0,66879.0,68908.0,20592.0,18183.0,64982806.0,82659141.0,0.538,90.406,84.929,73.635,56.481,32.485,90.961,84.752,39.444,91.616,66.298,43.032,3.629,2.538,1.025,93.774,91.45,606.456,163.561
2013/04/02,1183101461.0,107.749,0.0539,61845596902013.0,6695826.0,6695826.0,5260549.0,6692932.0,6466725.0,5749761.0,4492115.0,291547.0,2230475.0,1.948,0.279,97.889,38.125,53.297,60633728191775.0,56894215515944.0,45919538052526.0,32209968678589.0,47897444240696.0,59321581487439.0,56553256710420.0,11887441553889.0,11315233330806.0,19640918710600.0,3.2008626332648e+25,2.016,2.017,1.406,0.384,6503.0,5582.0,3977.0,6984.0,6475.0,5757.0,4482.0,6670.0,6058.0,4740.0,2884.0,3128.0,1177343.0,2079147.0,99082516.0,108146320.0,67228470.0,119025128.0,113391979.0,3214435238744518.0,3.121,0.312,0.04,0.068,0.043,0.045,0.047,0.001,0.001,2.777,1.251,0.049,0.05,0.05,0.024,2.534,1.139,67.414,1.833,0.144,-0.272,-0.059,1066526516.0,850756175.0,364007125.0,1090528032.0,992707735.0,872523596.0,702431833.0,445432691.0,1100883277.0,761891508.0,486875397.0,1042931435.0,2.665,1.129,744.047,2545.0,2012.0,2706.0,2172.0,2417.0,1454.0,63.554,57.343,44.077,47.757,32.466,52.383,34.151,181.992,3.531,2.21,0.23,0.953,0.227,0.038,155608.0,155210.0,149678.0,52503.0,689152619.0,630754328.0,0.331,54509.0,44503.0,45961.0,41997.0,12062.0,11689.0,1.036,0.256,19.639,19.855,19.513,19.917,19.764,19.442,0.49,0.408,0.345,0.427,0.015,0.03,0.014,2.179,74513.0,66291.0,68492.0,70657.0,21588.0,19348.0,86865914.0,93587018.0,0.569,97.171,90.078,77.661,58.991,33.536,99.355,90.501,40.945,100.288,69.605,44.686,3.745,2.617,1.057,94.987,92.645,716.218,195.397
2013/04/03,1318189886.0,120.003,0.06,60270367548897.0,6695826.0,6695826.0,5338147.0,6694379.0,6547748.0,5842360.0,4552514.0,291547.0,2293952.0,1.943,0.288,97.889,38.125,53.297,62539358860900.0,58975896856611.0,46674364484225.0,32616029589136.0,48695697357354.0,60165619495677.0,57300567652967.0,7672492273609.0,10182774073258.0,20044305085355.0,2.5922221956753e+25,1.991,2.015,1.435,0.396,6645.0,5743.0,4050.0,7451.0,6792.0,5957.0,4578.0,6984.0,6269.0,4847.0,3037.0,1989.0,1426075.0,2305788.0,106494613.0,117439750.0,71293657.0,128903321.0,122981011.0,3781082247256206.0,3.248,0.353,0.042,0.073,0.046,0.051,0.052,0.001,0.001,2.871,1.288,0.054,0.055,0.056,0.025,2.599,1.17,69.112,1.841,-0.002,-0.268,-0.061,1180269513.0,899864027.0,377094375.0,1204358959.0,1074078272.0,931945768.0,742158159.0,464614168.0,1226714962.0,805345883.0,507846447.0,1177852524.0,2.756,1.163,839.301,2697.0,2144.0,2942.0,2321.0,2576.0,1528.0,69.235,60.546,46.873,51.291,34.005,56.154,35.799,317.592,3.763,2.327,0.256,0.953,0.227,0.036,156259.0,156056.0,150437.0,47145.0,555653079.0,614641815.0,0.329,54506.0,45581.0,47459.0,42633.0,15170.0,13162.0,1.163,0.26,19.68,19.888,19.523,19.948,19.81,19.454,0.503,0.437,0.364,0.366,0.01,0.033,0.017,1.864,77677.0,68078.0,70985.0,73293.0,25575.0,21903.0,143182571.0,119931071.0,0.611,107.489,95.902,82.108,61.879,34.722,109.679,97.877,42.682,111.703,73.541,46.586,3.911,2.707,1.09,95.785,93.508,808.284,178.5
2013/04/04,1357824968.0,123.562,0.0618,55272455140085.0,6695826.0,6695826.0,5415745.0,6695103.0,6611170.0,5929952.0,4612006.0,291547.0,2352822.0,1.917,0.296,97.889,38.125,53.297,59129473196998.0,59231838277080.0,47372797279589.0,32978965966943.0,49120004311079.0,59239759066545.0,57233203198374.0,7013418016731.0,10042649490131.0,19731382020831.0,2.5213702195409e+25,1.734,1.969,1.456,0.407,6794.0,5910.0,4122.0,7782.0,7057.0,6139.0,4670.0,7268.0,6465.0,4951.0,3171.0,2094.0,1574429.0,2513253.0,111795343.0,124473962.0,74704127.0,136643670.0,129336259.0,4181966971339742.0,3.379,0.396,0.044,0.078,0.048,0.057,0.056,0.001,0.001,2.985,1.328,0.059,0.058,0.06,0.027,2.674,1.203,69.578,1.841,0.14,-0.261,-0.063,1286372105.0,946913769.0,390620653.0,1281091963.0,1145014946.0,988729661.0,781878598.0,484245175.0,1315492689.0,849301001.0,529400965.0,1217365028.0,2.854,1.2,866.699,2833.0,2244.0,3117.0,2446.0,2712.0,1597.0,78.292,65.817,50.029,55.938,35.968,61.086,37.883,562.561,4.166,2.481,0.285,0.963,0.232,0.049,157161.0,156943.0,152000.0,53720.0,721463920.0,659287348.0,0.327,54839.0,46630.0,49026.0,43319.0,18005.0,14643.0,1.339,0.264,19.723,19.914,19.534,19.969,19.852,19.467,0.497,0.459,0.383,0.45,0.004,0.037,0.02,2.302,80474.0,69795.0,73431.0,75926.0,29141.0,24213.0,200432683.0,146568407.0,0.663,117.104,101.303,86.363,64.777,35.948,116.62,104.298,44.46,119.74,77.521,48.539,4.087,2.805,1.126,95.977,93.724,834.762,115.0
2013/04/05,1414392012.0,128.664,0.0643,51815454745655.0,6798904.0,6740002.0,5503651.0,6850081.0,6698222.0,6032489.0,4677386.0,291547.0,2423226.0,1.888,0.305,98.186,44.504,60.377,55786092478212.0,58195372037459.0,47974562797815.0,33303685514234.0,49293904339116.0,57385663183689.0,56680072340202.0,8735347100869.0,10254314157412.0,19126208338407.0,2.6287739709724e+25,1.299,1.873,1.468,0.419,7008.0,6087.0,4210.0,8324.0,7443.0,6385.0,4786.0,7689.0,6726.0,5079.0,3368.0,2990.0,2035077.0,2836428.0,116695551.0,131112830.0,78059562.0,144100514.0,135208527.0,4570336442425772.0,3.507,0.441,0.045,0.081,0.05,0.059,0.059,0.001,0.001,3.093,1.37,0.062,0.061,0.063,0.028,2.755,1.237,70.229,1.828,0.333,-0.251,-0.065,1363468955.0,996612312.0,404780326.0,1347741988.0,1212359213.0,1045484641.0,822685915.0,504687962.0,1379502643.0,894840766.0,551901435.0,1274370485.0,2.957,1.238,910.125,3026.0,2341.0,3281.0,2568.0,2847.0,1667.0,86.938,70.974,53.308,60.405,37.929,65.935,39.98,775.935,4.619,2.658,0.317,0.96,0.23,0.063,157013.0,157741.0,152837.0,51407.0,660679155.0,654198460.0,0.326,54793.0,47386.0,50335.0,43942.0,19739.0,15788.0,1.518,0.269,19.757,19.893,19.54,19.94,19.866,19.477,0.457,0.464,0.392,0.29,0.005,0.038,0.023,1.485,82264.0,70824.0,75147.0,77877.0,31093.0,25666.0,222392877.0,164680970.0,0.716,124.076,107.314,90.858,67.766,37.231,122.642,110.389,46.311,125.52,81.643,50.576,4.257,2.907,1.164,96.233,94.013,876.762,92.446
2013/04/06,1474827634.0,134.114,0.0671,61828214750416.0,7124628.0,6879599.0,5613822.0,7261540.0,6853785.0,6172446.0,4756464.0,815581.0,2526499.0,1.885,0.314,98.62,58.283,75.669,56305374878719.0,58726810965768.0,48957293289103.0,33759925800740.0,50102569526942.0,58293873861928.0,57489531610825.0,9094706513828.0,10516744526294.0,18840725883715.0,2.7650478857832e+25,1.134,1.8,1.479,0.431,7170.0,6217.0,4283.0,8474.0,7640.0,6548.0,4877.0,7944.0,6909.0,5183.0,3486.0,2271.0,2248623.0,3037954.0,120066807.0,132822859.0,79808105.0,146740690.0,134073592.0,4493932018598450.0,3.588,0.486,0.047,0.084,0.051,0.059,0.06,0.001,0.001,3.173,1.411,0.064,0.064,0.065,0.03,2.84,1.274,70.901,1.821,0.458,-0.24,-0.066,1415681538.0,1052259702.0,419616955.0,1411284811.0,1277976318.0,1102730374.0,864759574.0,526009713.0,1435181982.0,942148593.0,575418958.0,1335296658.0,3.062,1.278,956.989,3150.0,2423.0,3304.0,2626.0,2919.0,1716.0,93.173,74.44,55.459,62.325,39.077,68.313,41.281,728.799,4.84,2.811,0.35,0.96,0.23,0.068,155571.0,158385.0,152963.0,45721.0,522608121.0,617523242.0,0.324,54291.0,47634.0,50446.0,44178.0,18749.0,15763.0,1.589,0.274,19.792,19.878,19.547,19.913,19.876,19.486,0.396,0.467,0.4,0.23,0.006,0.04,0.026,1.171,83414.0,71381.0,75659.0,78668.0,31352.0,25872.0,204447338.0,167334419.0,0.762,128.78,113.979,95.893,70.904,38.576,128.378,116.32,48.24,130.538,85.923,52.706,4.409,3.011,1.203,96.479,94.297,922.051,98.435
2013/04/07,1563013110.0,142.08,0.071,62710014647861.0,7450353.0,7019195.0,5723993.0,7467270.0,6982440.0,6305297.0,4834395.0,629741.0,2621567.0,1.89,0.324,98.62,37.483,75.669,58784561381311.0,59892030838102.0,49888014119461.0,34203852889091.0,50915953083130.0,59289674782452.0,58326586227485.0,8740512343785.0,10841862131140.0,18707180146223.0,2.9386493617664e+25,1.11,1.745,1.489,0.443,7477.0,6370.0,4360.0,8709.0,7876.0,6733.0,4977.0,8243.0,7115.0,5295.0,3626.0,4290.0,2498776.0,3286874.0,122750551.0,132461825.0,80850275.0,147202627.0,131287264.0,4309086448057972.0,3.616,0.53,0.048,0.087,0.053,0.061,0.062,0.001,0.001,3.244,1.452,0.067,0.068,0.069,0.032,2.93,1.312,71.841,1.819,0.518,-0.229,-0.068,1484077585.0,1113279831.0,435428226.0,1487148960.0,1349235516.0,1164101405.0,909808190.0,548800997.0,1508847768.0,992908503.0,600548544.0,1423014406.0,3.168,1.321,1016.0,3236.0,2475.0,3190.0,2614.0,2921.0,1743.0,95.062,76.177,56.682,62.452,39.631,68.883,41.996,648.241,4.753,2.913,0.383,0.956,0.229,0.072,157037.0,159496.0,154115.0,42268.0,446653947.0,609668881.0,0.323,54547.0,48027.0,50513.0,44396.0,18593.0,15865.0,1.581,0.278,19.82,19.85,19.551,19.874,19.873,19.494,0.325,0.47,0.404,0.141,0.009,0.041,0.028,0.72,84705.0,72398.0,76397.0,79682.0,31346.0,26457.0,188964667.0,174998891.0,0.803,134.952,121.555,101.415,74.263,40.008,135.229,122.76,50.303,137.188,90.515,54.981,4.547,3.117,1.245,96.797,94.67,979.512,91.849
2013/04/08,1799989332.0,163.561,0.0818,63348133569501.0,7673000.0,7158791.0,5834164.0,7570135.0,7091172.0,6431039.0,4911181.0,601205.5,2711968.0,1.894,0.334,98.62,14.594,75.669,62628787655926.0,59584319614918.0,50810250348052.0,34633063475243.0,51718029243541.0,60153700465301.0,59225424300777.0,8053492716857.0,11052546653601.0,18541883113718.0,3.0539696882506e+25,1.146,1.701,1.498,0.455,7854.0,6535.0,4453.0,9062.0,8176.0,6952.0,5090.0,8596.0,7357.0,5422.0,3782.0,5288.0,2893644.0,3575871.0,128434505.0,137461679.0,83687842.0,152829015.0,131132652.0,4298943128844980.0,3.64,0.574,0.05,0.09,0.055,0.062,0.064,0.001,0.001,3.305,1.494,0.073,0.075,0.076,0.034,3.033,1.352,74.12,1.786,0.626,-0.216,-0.069,1612610025.0,1187783618.0,453843044.0,1643569146.0,1461923970.0,1248886462.0,967239231.0,576299641.0,1666803642.0,1056560996.0,630538898.0,1657333580.0,3.286,1.366,1162.0,3369.0,2583.0,3304.0,2706.0,3022.0,1804.0,104.438,82.073,60.183,66.85,41.631,73.653,44.156,768.788,4.813,3.035,0.418,0.954,0.228,0.073,158313.0,160005.0,155017.0,42889.0,459856995.0,622354878.0,0.322,54752.0,49088.0,51564.0,44947.0,18575.0,16667.0,1.6,0.283,19.837,19.81,19.554,19.817,19.856,19.499,0.263,0.47,0.408,0.294,0.014,0.042,0.03,1.514,88114.0,74390.0,78816.0,82359.0,33938.0,28724.0,213677509.0,206269076.0,0.852,146.585,131.39,108.159,78.277,41.677,149.395,132.96,52.792,151.492,96.276,57.696,4.724,3.234,1.289,97.44,95.477,1120.0,87.108
2013/04/09,2151102847.0,195.397,0.0977,65111643775833.0,7673000.0,7298387.0,5944335.0,7621567.0,7190598.0,6549674.0,4986854.0,572670.0,2798086.0,1.891,0.344,98.62,14.594,75.669,63723263997732.0,60050897739750.0,51677790418136.0,35121378181982.0,52582133406915.0,61535531505530.0,60252315743341.0,8861372838837.0,10949074860693.0,18701125323864.0,2.9970560076263e+25,1.229,1.67,1.506,0.467,8419.0,6805.0,4578.0,10135.0,8866.0,7365.0,5272.0,9329.0,7797.0,5618.0,4185.0,7899.0,4316562.0,4379283.0,137541562.0,149512000.0,88974739.0,165461734.0,145523932.0,5294303707697924.0,3.71,0.623,0.052,0.095,0.057,0.066,0.068,0.001,0.001,3.369,1.538,0.084,0.086,0.088,0.037,3.161,1.397,76.92,1.75,0.522,-0.205,-0.07,1838035096.0,1285347923.0,476135446.0,1897335997.0,1634218689.0,1369181980.0,1043617529.0,610910701.0,1936050053.0,1140004234.0,667841311.0,2006316195.0,3.427,1.416,1386.0,3610.0,2761.0,3673.0,2923.0,3247.0,1909.0,118.465,91.009,65.897,74.998,44.961,82.231,47.663,1556.0,5.217,3.222,0.459,0.953,0.227,0.07,158105.0,160347.0,155546.0,41727.0,435282312.0,624788508.0,0.321,54524.0,50258.0,53052.0,45662.0,20059.0,17992.0,1.669,0.289,19.846,19.786,19.558,19.777,19.839,19.506,0.237,0.465,0.413,0.329,0.013,0.043,0.032,1.699,90904.0,76227.0,80962.0,84790.0,35879.0,30637.0,230615669.0,234652099.0,0.904,167.012,143.911,116.995,83.309,43.696,172.396,148.569,55.926,175.898,103.832,61.074,4.995,3.375,1.338,98.043,96.314,1337.0,75.043
2013/04/10,1965870661.0,178.5,0.0892,70206503841325.0,7673000.0,7437983.0,6054505.0,7647284.0,7280717.0,6661200.0,5061446.0,544134.5,2878277.0,1.877,0.355,98.62,14.594,75.669,66222093728887.0,61470345781525.0,52725657551404.0,35644762825181.0,53719189563974.0,64074433030924.0,61816842038471.0,11374186667831.0,10017080685539.0,19206820698080.0,2.5085476365151e+25,1.436,1.669,1.518,0.48,8884.0,7054.0,4689.0,10677.0,9325.0,7683.0,5426.0,9847.0,8152.0,5788.0,4459.0,6522.0,5132843.0,4971618.0,150582704.0,167775652.0,96526912.0,184497673.0,175702618.0,7717852482570384.0,3.852,0.679,0.055,0.101,0.06,0.074,0.074,0.001,0.001,3.457,1.585,0.09,0.088,0.091,0.04,3.289,1.445,72.699,1.768,0.22,-0.197,-0.072,1972320947.0,1363767349.0,496351594.0,1931603329.0,1717131682.0,1448740471.0,1103117731.0,640690041.0,1999967835.0,1207909993.0,700582744.0,1819453286.0,3.567,1.468,1243.0,3900.0,3006.0,4267.0,3259.0,3593.0,2058.0,152.267,110.751,76.337,92.04,51.427,99.86,54.337,5507.0,6.392,3.576,0.514,0.756,0.143,0.069,158038.0,160400.0,155830.0,41760.0,435978926.0,625390165.0,0.32,54676.0,51863.0,55035.0,46570.0,23265.0,19967.0,1.805,0.295,19.852,19.78,19.562,19.76,19.828,19.513,0.222,0.464,0.418,0.413,0.009,0.044,0.033,2.133,95239.0,78891.0,84349.0,88482.0,40334.0,34140.0,317615334.0,291393310.0,0.968,179.152,152.268,124.085,87.755,45.527,175.448,156.052,58.62,181.642,109.974,64.037,5.205,3.514,1.389,86.819,87.615,1198.0,77.734
